router,n_points,min_cost,max_quality,aiq,apgr
oracle,37,4.480390517950123e-05,0.9106947108796931,0.906522264149002,1.2696162248724008
knn-embedding,30,4.572099205261716e-05,0.7759249109345026,0.749384844640087,0.936180618663454
matrix-factorization,21,4.572099205261716e-05,0.7774938339271033,0.7458344830134737,0.9287115034919593
contrastive,32,4.572099205261716e-05,0.7811386681282543,0.742916496755271,0.9223553614911559
cascade,20,4.572099205261716e-05,0.7763565360372705,0.6330887320277945,0.6909216681118524
random-mix,21,4.572099205261716e-05,0.7760824883529734,0.5431229191220213,0.501754055506404
always-cheapest,1,4.572099205261716e-05,0.30850918059742394,,
always-best,1,0.0032907645930391888,0.7760824883529734,,
