lambda,cost,quality
23.71373705661655,4.572099205261716e-05,0.30850918059742394
17.78279410038923,4.5730528912030686e-05,0.30905727596601806
13.33521432163324,4.5993779117566454e-05,0.3191970402850096
10.0,4.674103864072349e-05,0.3422170457659633
7.498942093324558,4.791179775280899e-05,0.36477117018361194
5.623413251903491,4.9698342011510005e-05,0.38431077007399284
4.216965034285822,5.475416552480132e-05,0.4216566182515758
3.1622776601683795,9.366866045491916e-05,0.5559605371334613
2.371373705661655,0.00010716730391888188,0.603644834201151
1.7782794100389228,0.00011578326555220608,0.6307687037544534
1.333521432163324,0.00012204724527267746,0.644025760482324
1.0,0.000172952429706769,0.6605028775006851
0.5623413251903491,0.0002184442148533845,0.6796177034804056
0.4216965034285822,0.00022010110715264456,0.6825979720471362
0.31622776601683794,0.000221598890654974,0.6827007399287477
0.23713737056616552,0.00022269203233762675,0.6843792819950671
0.1778279410038923,0.00022373141298986024,0.6845848177582899
0.1333521432163324,0.00022555833707865172,0.6853932584269663
0.1,0.00023241292737736366,0.6869005206906001
0.07498942093324558,0.0002676863299534119,0.6909975335708413
0.05623413251903491,0.00036862573033707866,0.7076870375445328
0.042169650342858224,0.0005189105080844067,0.7282406138668128
0.03162277660168379,0.0006482099797204714,0.7405727596601809
0.023713737056616554,0.0024139451329131265,0.7587284187448616
0.01778279410038923,0.00255758544971225,0.7650315154836942
0.01333521432163324,0.002665655044121677,0.7712249931488079
0.01,0.0027546897248561246,0.7739312140312414
0.007498942093324558,0.0028163181934776653,0.7769457385585091
0.005623413251903491,0.0028621044110715265,0.7781789531378459
0.004216965034285823,0.0028925567267744584,0.7792888462592491
0.0031622776601683794,0.0029152848577692517,0.7803165250753631
0.0017782794100389228,0.0029483876119484787,0.7811386681282543
