router,n_points,min_cost,max_quality,aiq,apgr
oracle,38,4.4755631679912304e-05,0.9131063305015074,0.9088131621542948,1.2533948822932945
matrix-factorization,23,4.57962181419567e-05,0.7853864072348589,0.7520041055183355,0.9295870478374281
knn-embedding,35,4.57962181419567e-05,0.7829679364209373,0.7513391615603122,0.9284557566585685
contrastive,31,4.57962181419567e-05,0.7686352425322006,0.7392624697500196,0.9034096385292152
cascade,21,4.57962181419567e-05,0.7826801863524253,0.6337128013996554,0.6868435010327163
random-mix,21,4.57962181419567e-05,0.7826801863524253,0.5415682625884974,0.4984180150117025
always-cheapest,1,4.57962181419567e-05,0.3020005480953686,,
always-best,1,0.003280087695258975,0.7826801863524253,,
