lambda,cost,quality
10.0,4.57962181419567e-05,0.3020005480953686
7.498942093324558,4.6268402302000556e-05,0.3187174568374897
5.623413251903491,4.798313236503152e-05,0.3559879419018909
4.216965034285822,5.0068840778295424e-05,0.38085091805974236
3.1622776601683795,7.035907097835024e-05,0.4617155385036996
2.371373705661655,0.00010260000000000001,0.5756303096738832
1.7782794100389228,0.00011725317895313785,0.6214236777199232
1.333521432163324,0.00012408664017539054,0.6403124143600987
1.0,0.00012692049876678543,0.6430597423951768
0.7498942093324559,0.00012952656892299263,0.644491641545629
0.5623413251903491,0.00020378747328035076,0.6668950397369142
0.4216965034285822,0.0002180234540970129,0.672752808988764
0.31622776601683794,0.00022076765798849,0.674260071252398
0.23713737056616552,0.0002235856355165799,0.6745889284735543
0.1778279410038923,0.00022619813209098384,0.6749657440394629
0.07498942093324558,0.0002456535198684571,0.6779117566456563
0.05623413251903491,0.0002936849821869005,0.6826390791997807
0.042169650342858224,0.0005834918196766236,0.7097423951767607
0.03162277660168379,0.0009280716497670594,0.745601534667032
0.023713737056616554,0.0011998436969032611,0.766682652781584
0.01778279410038923,0.0015526151411345574,0.7764113455741299
0.01333521432163324,0.0023611933817484247,0.783879144971225
0.01,0.0028938129213483144,0.7853864072348589
