lambda,cost,quality
17.78279410038923,4.572099205261716e-05,0.30850918059742394
13.33521432163324,4.578254316251028e-05,0.31056453822965197
10.0,4.6311126335982465e-05,0.33002192381474377
7.498942093324558,4.745956426418197e-05,0.3556453822965196
5.623413251903491,4.9101863524253225e-05,0.37887777473280354
4.216965034285822,5.573113181693615e-05,0.4166278432447246
3.1622776601683795,8.296623732529461e-05,0.5303028226911483
2.371373705661655,9.681703206357908e-05,0.5806111263359824
1.7782794100389228,0.00010592279419018911,0.6096601808714717
1.333521432163324,0.00011416052288298163,0.6300835845437106
1.0,0.0001230388846259249,0.6446560701562072
0.7498942093324559,0.00015495335324746507,0.6587695258975061
0.5623413251903491,0.00018929508577692522,0.6723143326938887
0.4216965034285822,0.00020606040559057275,0.6784530008221431
0.31622776601683794,0.00021612374623184433,0.6834543710605646
0.23713737056616552,0.00021983615894765688,0.686400383666758
0.1778279410038923,0.00022177642038914773,0.6867429432721294
0.1333521432163324,0.00022382691422307484,0.6880446697725404
0.1,0.00022881204932858321,0.6884214853384489
0.07498942093324558,0.00026428918004932855,0.6953411893669499
0.05623413251903491,0.0003422581737462318,0.7034392984379282
0.042169650342858224,0.00047911005206906004,0.720841326390792
0.03162277660168379,0.0006835153822965196,0.7383803781858043
0.023713737056616554,0.001017341717730885,0.7513633872293779
0.01778279410038923,0.0013444158887366401,0.7570293231022198
0.01333521432163324,0.001691281058372157,0.7664839682104686
0.01,0.001923639032063579,0.7701151000274048
0.007498942093324558,0.002044815350506988,0.7721773088517403
0.005623413251903491,0.0021720792650041106,0.7748287201973143
0.004216965034285823,0.002267600010413812,0.7759249109345026
