lambda,cost,quality
23.71373705661655,4.57962181419567e-05,0.3020005480953686
13.33521432163324,4.587977528089888e-05,0.3052891203069334
10.0,4.6370060290490555e-05,0.32036174294327213
7.498942093324558,4.7493313236503156e-05,0.3428473554398465
5.623413251903491,4.9226048232392445e-05,0.3682926829268293
4.216965034285822,5.6693929843792825e-05,0.40859139490271307
3.1622776601683795,8.345224719101123e-05,0.5231775828994245
2.371373705661655,9.855286105782406e-05,0.5852836393532475
1.7782794100389228,0.00010797615127432173,0.6140312414360098
1.333521432163324,0.00011620845382296519,0.630604275143875
1.0,0.00012521670046588106,0.6437517127980269
0.7498942093324559,0.0001492414694436832,0.6567141682652782
0.5623413251903491,0.0001835113718827076,0.6671622362291039
0.4216965034285822,0.00020299581419567004,0.6760687859687585
0.31622776601683794,0.00021372946889558787,0.678788709235407
0.23713737056616552,0.00021865380432995344,0.6815634420389148
0.1778279410038923,0.00022029099588928474,0.6822828172101946
0.1333521432163324,0.00022235657001918338,0.6838791449712249
0.1,0.00022762779665661825,0.6853178953137846
0.07498942093324558,0.00026645278980542617,0.6917100575500138
0.05623413251903491,0.0003433706166072897,0.7022266374349138
0.042169650342858224,0.00047140315976979994,0.7189983557138943
0.03162277660168379,0.0006611450479583448,0.7321320909838313
0.023713737056616554,0.0009751514195670046,0.7460057550013703
0.01778279410038923,0.0013578829569745137,0.7593998355713895
0.01333521432163324,0.0016703005217867906,0.7695258975061661
0.01,0.0019205405941353794,0.7749657440394628
0.007498942093324558,0.002133597431625103,0.7774458755823513
0.005623413251903491,0.002215750432447246,0.779028500959167
0.004216965034285823,0.0023093315916689508,0.7809810907097835
0.0031622776601683794,0.0023828274864346397,0.7817004658810633
0.0023713737056616554,0.0024101303639353245,0.7824198410523432
0.0017782794100389228,0.002448308001644286,0.7825911208550288
0.001,0.0024679815560427515,0.7828651685393259
0.0,0.0025190584521786793,0.7829679364209373
