regime,single_reward,nestor_reward,delta,single_quality,nestor_quality
shuffled,0.6059661813114751,0.5752724216010418,-0.03069375971043331,0.6547889832830912,0.625966018087147
recurrence,0.5842259204562763,0.5399062516455357,-0.044319668810740565,0.6336111111111111,0.5815555555555555
drift,0.6023196838719648,0.5716834971358409,-0.030636186736123894,0.6509213525835866,0.6327032674772037
model-drift,0.6054692960537066,0.58206102130004,-0.02340827475366658,0.6541038640723486,0.6318785968758563
