router,n_points,min_cost,max_quality,aiq,apgr
oracle,37,4.4891984105234316e-05,0.9134899972595231,0.9092967422369054,1.2657696639821117
knn-embedding,30,4.6006631953959994e-05,0.7741847081392162,0.7464002906866093,0.9236140512394124
matrix-factorization,23,4.6006631953959994e-05,0.7802137571937517,0.745934330383327,0.9226962519670335
contrastive,34,4.6006631953959994e-05,0.7766442861057824,0.7391368726343991,0.9084081210298376
cascade,21,4.6006631953959994e-05,0.7793916141408606,0.6354223661725733,0.692338708132183
random-mix,21,4.6006631953959994e-05,0.7793916141408606,0.5431130302317114,0.500274988465839
always-cheapest,1,4.6006631953959994e-05,0.3065702932310222,,
always-best,1,0.003297725404220334,0.7793916141408606,,
