lambda,cost,quality
237.13737056616552,4.4891984105234316e-05,0.3071869005206906
177.82794100389228,4.48978761304467e-05,0.30848862702110164
133.3521432163324,4.494450534392985e-05,0.3175322006029049
100.0,4.5211907371882706e-05,0.35302137571937514
74.98942093324558,4.57494382022472e-05,0.4085160317895314
56.23413251903491,4.624421759386133e-05,0.4471567552754179
42.169650342858226,4.641882707591121e-05,0.45743354343655795
31.622776601683793,4.672591120855029e-05,0.47045080844066867
23.71373705661655,4.800684899972596e-05,0.5123801041381201
17.78279410038923,4.987739983557139e-05,0.5577692518498218
13.33521432163324,5.225313455741299e-05,0.6014798574952042
10.0,5.5037281446971775e-05,0.6395039736914223
7.498942093324558,5.946910112359551e-05,0.685338448890107
5.623413251903491,6.68431674431351e-05,0.7409495752260893
4.216965034285822,7.986810468621541e-05,0.8201151000274047
3.1622776601683795,8.311510386407235e-05,0.8346396272951493
2.371373705661655,8.611056124965744e-05,0.8443614688955878
1.7782794100389228,8.946381364757468e-05,0.8526993696903261
1.333521432163324,9.442108248835298e-05,0.861674431351055
1.0,0.00010256585530282271,0.8729035352151274
0.7498942093324559,0.00011532255138394082,0.8862428062482872
0.5623413251903491,0.00013067920306933408,0.8982940531652508
0.4216965034285822,0.00013672743052891203,0.9018772266374349
0.31622776601683794,0.00014690197149904084,0.9063236503151549
0.23713737056616552,0.000152143243080296,0.9080844066867635
0.1778279410038923,0.00015276072732255412,0.9082488352973417
0.1333521432163324,0.00015541467360920803,0.9087421211290765
0.1,0.00015869118772266372,0.9091874486160592
0.07498942093324558,0.00016762478596875856,0.9100781035900246
0.05623413251903491,0.0001809524412167717,0.9110989312140312
0.042169650342858224,0.00019756569142230745,0.9120580981090709
0.03162277660168379,0.0002164088813373527,0.9129144971224993
0.023713737056616554,0.00022554426089339542,0.9132228007673335
0.01778279410038923,0.00023236522554124418,0.9133940805700191
0.01333521432163324,0.00023443809482049874,0.9134283365305563
0.0023713737056616554,0.00023672965415182242,0.9134625924910934
0.001,0.00024723845108248836,0.9134899972595231
