router,n_points,min_cost,max_quality,aiq,apgr
oracle,38,4.4755631679912304e-05,0.9131063305015074,0.9088131621542948,1.2533948822932945
matrix-factorization,23,4.57962181419567e-05,0.7853864072348589,0.7520041055183355,0.9295870478374281
knn-embedding,35,4.57962181419567e-05,0.7801589476568923,0.7441612816366882,0.9134147597337041
cascade,21,4.57962181419567e-05,0.7825431625102768,0.6285239969024321,0.6761374175658141
random-mix,21,4.57962181419567e-05,0.7826801863524253,0.5415682625884974,0.4984180150117025
always-cheapest,1,4.57962181419567e-05,0.3020005480953686,,
always-best,1,0.003280087695258975,0.7826801863524253,,
