lambda,cost,quality
10.0,4.572099205261716e-05,0.30850918059742394
7.498942093324558,4.621425047958345e-05,0.32385585091805974
5.623413251903491,4.796335982460949e-05,0.3629076459303919
4.216965034285822,5.020879693066593e-05,0.3885311044121677
3.1622776601683795,7.014128528363934e-05,0.4685735818032338
2.371373705661655,0.00010166500411071525,0.5815291860783777
1.7782794100389228,0.00011728628391340092,0.6252192381474377
1.333521432163324,0.00012413148807892573,0.6417648670868732
1.0,0.00012646737462318445,0.6451288024116195
0.7498942093324559,0.00012939298437928198,0.6458618799671143
0.5623413251903491,0.00021302298657166347,0.6708687311592217
0.4216965034285822,0.00021825111756645652,0.673684571115374
0.23713737056616552,0.00022460459797204712,0.6741641545628939
0.07498942093324558,0.00025169723979172375,0.6752466429158673
0.05623413251903491,0.0002915706845711154,0.680556316799123
0.042169650342858224,0.0005914823041929296,0.7063030967388326
0.03162277660168379,0.00093698194793094,0.7392162236229104
0.023713737056616554,0.0011983394431351055,0.7621814195670046
0.01778279410038923,0.0015361904708139217,0.7697862428062482
0.01333521432163324,0.002410718601808715,0.774102493833927
0.01,0.0028809032063579062,0.7774938339271033
