lambda,cost,quality
13.33521432163324,4.57962181419567e-05,0.3020005480953686
10.0,4.5870622088243365e-05,0.3054261441490819
7.498942093324558,4.6855659084680744e-05,0.3369416278432447
5.623413251903491,4.842044395724857e-05,0.3591394902713072
4.216965034285822,4.9773814743765414e-05,0.3758563990134283
3.1622776601683795,7.374491641545629e-05,0.49508084406686764
2.371373705661655,0.00010661399013428336,0.6005206906001644
1.7782794100389228,0.00011514368320087695,0.6240887914497123
1.333521432163324,0.00012220121951219513,0.6412167717182791
1.0,0.00012560982460948207,0.6461222252671964
0.7498942093324559,0.0001286309125787887,0.6531172924088792
0.5623413251903491,0.0002192755412441765,0.6857152644560154
0.31622776601683794,0.00022609883529734175,0.687571937517128
0.23713737056616552,0.00022897967936420937,0.6882159495752261
0.1778279410038923,0.00023095538503699643,0.6890106878596876
0.1333521432163324,0.00023214083310496027,0.6896958070704302
0.042169650342858224,0.00025471716908742126,0.6941901890929021
0.03162277660168379,0.0003750432447245821,0.7106193477665115
0.023713737056616554,0.0006563837763770898,0.742004658810633
0.01778279410038923,0.0009897979172375994,0.7653946286653879
0.01333521432163324,0.001152195231570293,0.7779186078377638
0.01,0.0021138869553302274,0.7866196218141956
0.007498942093324558,0.0023600900794738286,0.7894971224993149
0.005623413251903491,0.002387238229651959,0.7901822417100576
