lambda,cost,quality
23.71373705661655,4.57962181419567e-05,0.3020005480953686
13.33521432163324,4.5868004932858316e-05,0.30378185804329955
10.0,4.622463688681832e-05,0.31570293231022195
7.498942093324558,4.726166072896685e-05,0.3399287476020828
5.623413251903491,4.887909016168814e-05,0.3622225267196492
4.216965034285822,5.2331282543162516e-05,0.39251849821869006
3.1622776601683795,9.31766648396821e-05,0.5366812825431625
2.371373705661655,0.00010445905727596602,0.5862770622088243
1.7782794100389228,0.00011292471800493284,0.6199027130720746
1.333521432163324,0.00012081137462318442,0.6371677171827899
1.0,0.0002134864762948753,0.6721293505069882
0.7498942093324559,0.0002192127733625651,0.6793710605645382
0.5623413251903491,0.00022312609372430805,0.6839613592765141
0.4216965034285822,0.00022601107591120853,0.6853932584269663
0.31622776601683794,0.0002279254376541518,0.686366127706221
0.23713737056616552,0.00022902157358180322,0.6869484790353522
0.1778279410038923,0.00023012380542614415,0.6893326938887366
0.1333521432163324,0.0002317870594683475,0.6895382296519594
0.1,0.0002364944658810633,0.6907577418470814
0.07498942093324558,0.0002791333241984105,0.6970334338174842
0.05623413251903491,0.0003831721841600439,0.7108728418744862
0.042169650342858224,0.0004999068736640175,0.7263565360372705
0.03162277660168379,0.0006445626286653879,0.7414154562893944
0.023713737056616554,0.0008150227958344752,0.7553918881885449
0.01778279410038923,0.002084261439298438,0.7744244998629761
0.01333521432163324,0.00219516449821869,0.7791518224171006
0.01,0.002788035202521239,0.7826938887366403
0.007498942093324558,0.0028642170057550016,0.7837215675527542
0.005623413251903491,0.0029134039747876128,0.7838585913949028
0.004216965034285823,0.0029519138525623463,0.7839956152370513
0.0031622776601683794,0.002979727126884078,0.7844409427240341
0.001333521432163324,0.0030171426105782407,0.7848657166346944
0.001,0.0030233758251575777,0.7851740202795287
0.0,0.0030673653313236502,0.7852082762400657
