lambda,cost,quality
237.13737056616552,4.480390517950123e-05,0.3093655796108523
177.82794100389228,4.480702932310222e-05,0.31005069882159497
133.3521432163324,4.4871046862154014e-05,0.3222458207728145
100.0,4.5129693066593585e-05,0.35663880515209645
74.98942093324558,4.564865716634695e-05,0.4106261989586188
56.23413251903491,4.613472184160044e-05,0.4487188270759112
42.169650342858226,4.6301767607563723e-05,0.4586187996711428
31.622776601683793,4.6606399013428344e-05,0.47149904083310495
23.71373705661655,4.7845104412167714e-05,0.5117497944642367
17.78279410038923,4.976793861331872e-05,0.5586804604001097
13.33521432163324,5.223459194299808e-05,0.6044121677171828
10.0,5.488445765963278e-05,0.6408947656892299
7.498942093324558,5.945951712798028e-05,0.6880309673883256
5.623413251903491,6.661798848999726e-05,0.7421690874212113
4.216965034285822,7.93803332419841e-05,0.8198958618799672
3.1622776601683795,8.239396875856399e-05,0.8333241984105235
2.371373705661655,8.506441984105236e-05,0.8419429980816662
1.7782794100389228,8.914365579610854e-05,0.8522403398191285
1.333521432163324,9.344101890929022e-05,0.8600575500137023
1.0,0.00010156565908468073,0.8713003562619895
0.7498942093324559,0.00011484244231296246,0.885050698821595
0.5623413251903491,0.00012861112469169636,0.8960194573855851
0.4216965034285822,0.00013504782077281447,0.8997465058920253
0.31622776601683794,0.00014368077500685118,0.9034735543984653
0.23713737056616552,0.00014685306878596874,0.9045217867909016
0.1778279410038923,0.00015021155056179773,0.9053576322280077
0.1333521432163324,0.00015155038311866263,0.9056111263359824
0.1,0.00015466337297889834,0.9060564538229652
0.07498942093324558,0.00016033454316251026,0.9066045491915593
0.05623413251903491,0.00017804682049876678,0.9079747876130446
0.042169650342858224,0.0001982336388051521,0.9091052343107701
0.03162277660168379,0.0002187072891203069,0.9099958892847355
0.023713737056616554,0.00022858321403124146,0.9103384488901068
0.01778279410038923,0.00023574243573581808,0.9105097286927925
0.01333521432163324,0.00024294960208276242,0.910646752534941
0.004216965034285823,0.00024524116141408603,0.9106810084954782
0.001,0.00024797259468347494,0.9106947108796931
