lambda,cost,quality
17.78279410038923,4.57962181419567e-05,0.3020005480953686
13.33521432163324,4.584724582077282e-05,0.30474102493833927
10.0,4.6163058372156757e-05,0.31529186078377636
7.498942093324558,4.687899424499863e-05,0.3327281446971773
5.623413251903491,4.909151822417101e-05,0.36180460400109615
4.216965034285822,6.050591942998083e-05,0.42930939983557137
3.1622776601683795,9.226966675801589e-05,0.5501986845711153
2.371373705661655,0.00011890864839682105,0.6149424499862977
1.7782794100389228,0.00013706434201151,0.6313305015072622
1.333521432163324,0.000141983637160866,0.6391203069334065
1.0,0.0001450321901890929,0.6419909564264182
0.7498942093324559,0.00015142826582625375,0.6482049876678543
0.5623413251903491,0.00016256991120855029,0.6529528637983009
0.4216965034285822,0.0001760684856124966,0.661914223074815
0.31622776601683794,0.0001897776793642094,0.6667785694710879
0.23713737056616552,0.00020043955933132367,0.6708207728144696
0.1778279410038923,0.0002067062488352973,0.6734242258152918
0.1333521432163324,0.00021033216004384762,0.6752055357632227
0.1,0.00022840143929843792,0.6820772814469718
0.07498942093324558,0.0002526504801315429,0.6866675801589477
0.05623413251903491,0.0002796802417100576,0.6890380926281173
0.042169650342858224,0.00034517937845985204,0.6976363387229378
0.03162277660168379,0.0004949323792819951,0.7133529734173747
0.023713737056616554,0.0010644253910660456,0.7284255960537134
0.01778279410038923,0.0017818889635516579,0.7440120580981091
0.01333521432163324,0.0021365488018635246,0.7534118936694985
0.01,0.0023149720548095365,0.7588928473554398
0.007498942093324558,0.002437250790901617,0.7620786516853932
0.005623413251903491,0.002512525989586188,0.7656412715812551
0.004216965034285823,0.0025798523529734175,0.7677445875582352
0.0031622776601683794,0.0026179495028775,0.7696971773088518
0.0023713737056616554,0.0026468441315428883,0.7702110167169087
0.0017782794100389228,0.0026689040794738283,0.7706563442038915
0.001333521432163324,0.002692674359002466,0.770923540696081
0.001,0.0027047250304192932,0.7713688681830638
0.0,0.002752380018087147,0.7727939161414087
