router,n_points,min_cost,max_quality,aiq,apgr
oracle,38,4.4755631679912304e-05,0.9131063305015074,0.9088131621542948,1.2533948822932945
contrastive,34,4.57962181419567e-05,0.7852082762400657,0.7536776751114798,0.9329538930394621
matrix-factorization,23,4.57962181419567e-05,0.7853864072348589,0.7520041055183355,0.9295870478374281
random-mix,21,4.57962181419567e-05,0.7826801863524253,0.5415682625884974,0.4984180150117025
always-cheapest,1,4.57962181419567e-05,0.3020005480953686,,
always-best,1,0.003280087695258975,0.7826801863524253,,
